start_time,lib_name,lib_ver,test_duration,cpu_freq,latency_mean,throughput,cpu_cycles,peak_memory,page_faults,buff_flush,sink_flush,buff_size,formatter,formatter_impl,sink,build,dropped,latency_min,latency_max,latency_median,latency_IQR,latency_75th,latency_90th,latency_99th,latency_99.9th
0x17f8253542dc08a0,abseil,20240722,3.569073,2.591608,34770.919637,113751.145652,28979412318,8749056,58918,-1,0,-1,txt,?,sort,release,0,,,,,,,,
0x17f826de76f20e64,boost,1.85.0,23.56837,2.591848,189738.100664,16988.959763,102708980692,7790592,2596,0,0,64,txt,insertion_operator,sort,release,0,,,,,,,,
0x17f828727d49c910,fstlog,0.50.0,0.812088,2.591608,7769.325881,504491.869483,2596757970,5148672,1388,0,0,0,txt,own_fill_align_charconv,sort,release,0,,,,,,,,
0x17f82a402057bd14,fstlog-fast,0.50.0,0.516279,2.591628,4839.621289,801560.477938,1724751878,5185536,1358,0,0,0,txt,minimal_charconv,sort,release,0,,,,,,,,
0x17f82a585441c454,g3log,0.0.0,4.645757,2.591628,4641.77642,86467.639345,18325560646,228495360,56802,-1,0,-1,txt,printf?,sort,release,0,,,,,,,,
0x17f8286019f22cfc,log4cxx,1.2.0,10.412582,2.591608,87178.390414,38543.184786,29415310588,8495104,4479,-1,0,-1,txt,fmtlib_{fmt},sort,release,0,,,,,,,,
0x17f82520ca7c2d54,noop,0.0.0,0.0434,2.591608,46.075783,21181616.475061,179137114,4620288,1203,0,0,0,txt,,lib,release,400000,,,,,,,,
0x17f8288040e530c8,p7client,5.6,1.005389,2.591608,8970.494678,406526.746259,2849959176,7872512,2061,-1,1000,-1,txt,?,sort,release,0,,,,,,,,
0x17f82a51f0212768,poco,0.0.0,12.226378,2.591628,28382.039202,32768.291658,60734484914,93831168,23374,-1,0,-1,txt,?,sort,release,0,,,,,,,,
0x17f8253de30e27c4,quill,7.2.1,0.821253,2.591608,158.026678,500652.287349,2313220612,87052288,25297,1,-1,-1,txt,fmtlib_{fmt},sort,release,0,,,,,,,,
0x17f825399d2d41e4,spdlog,1.14.1,3.207491,2.591608,31153.488992,125814.024603,22066098840,11964416,3351,-1,0,164,txt,fmtlib_{fmt},sort,release,0,,,,,,,,
