start_time,lib_name,lib_ver,test_duration,cpu_freq,latency_mean,throughput,cpu_cycles,peak_memory,page_faults,buff_flush,sink_flush,buff_size,formatter,formatter_impl,sink,build,dropped,latency_min,latency_max,latency_median,latency_IQR,latency_75th,latency_90th,latency_99th,latency_99.9th
0x185c948aa05ea11c,noop,0.0.0,30.027915,2.591508,98.704674,199.961724,8095527896,4263936,1114,0,0,0,txt,,lib,release,6000,46.305077,4189.065957,104.958174,54.794341,110.360433,121.164951,358.092595,513.986354
0x185c94946baddca8,p7client,5.6,30.029732,2.591508,3349.291103,199.942963,8225391146,5509120,1499,-1,1000,-1,txt,?,sort,release,0,1921.660692,142087.900235,2664.857176,2363.102425,4567.995837,5087.384449,10518.969970,46688.637292
0x185c949e3c8c36f4,fstlog-fast,0.55.0,30.031191,2.591508,1911.831667,199.958958,8118188478,4820992,1268,0,0,0,txt,minimal_charconv,sort,release,0,615.857523,138581.834162,1470.957943,1430.055125,2606.204078,2972.014186,7753.785128,18595.347134
0x185c94a80ab09d78,abseil,20250512.1,30.029829,2.591508,79359.291319,199.958164,9064278330,5304320,10961,-1,0,-1,txt,?,sort,release,0,24226.044486,797155.018696,69231.492232,40173.512972,92420.302995,134968.494661,222045.191781,298480.982229
0x185c94b1d81b9ac0,g3log,2.6,30.029924,2.591508,23337.316933,199.958030,8795328006,5283840,1400,-1,0,-1,txt,printf?,sort,release,0,11289.949501,124862.411626,17902.700359,17239.380132,32863.484831,36735.361012,47660.272156,80644.921938
0x185c94bba517cbf8,log4cxx,1.5.0,30.041788,2.591508,18440.860149,199.946504,8716017642,7983104,2099,-1,0,-1,txt,fmtlib_{fmt},sort,release,0,8601.939786,728363.424694,13288.399445,15330.067461,26743.497167,29772.620948,42091.314907,177053.635558
0x185c94c573fb380c,quill-bounded,10.0.1,30.057206,2.591508,1439.760283,199.776946,9269547826,6131712,1651,1,-1,64,txt,fmtlib_{fmt},sort,release,0,375.842874,973809.658841,802.621333,211.459851,930.732046,1116.724105,1481.762461,121790.841525
0x185c94cf433d95fc,fstlog,0.55.0,30.027501,2.591508,1977.969980,199.960638,8151178110,4820992,1268,0,0,0,txt,own_fill_align_charconv,sort,release,0,665.249605,31443.462473,1520.735901,1561.252843,2751.293319,3144.114722,10246.541768,19850.986469
0x185c94d910d02684,spdlog,1.15.3,30.028799,2.591508,9405.435385,199.958926,8357667562,8122368,2075,-1,0,164,txt,fmtlib_{fmt},sort,release,0,4313.317914,102885.250376,6192.532285,9465.529471,14701.090166,16791.764388,25443.096257,48607.210979
0x185c94e2dea99668,quill,10.0.1,30.036936,2.591508,1538.132847,199.938994,9340455246,6328320,1651,1,-1,-1,txt,fmtlib_{fmt},sort,release,0,513.214602,969686.191743,997.874407,314.102772,1194.670984,1413.848348,1839.855056,13336.633900
0x185c94ecaca17870,boost,1.88.0,30.036818,2.591508,35784.075300,199.955676,8781440450,5926912,1550,0,0,64,txt,insertion_operator,sort,release,0,21432.304846,1553435.774257,29544.954319,20439.832697,46048.083728,50308.922555,63131.570101,180447.025943
0x185c94f67a773c18,poco,1.14.1,30.030403,2.591508,42779.960409,199.959968,9346829490,5881856,1541,-1,0,-1,txt,?,sort,release,0,26709.540110,324524.500983,37816.584557,21321.944412,52943.681431,61973.943179,73390.459890,152154.623954
